Бабель Исаак;Рассказы;история;207753;babels;1;0
Бабель Иссак;'Сборник \"Конармия\"';мемуары;517841;bebel;1;0
Бабенко Вадим;Сборник;стихи;338062;gk;1;0
Баджмент Майкл;Священная кровь и священный грааль;история;755842;graal;1;0
Баевский Товий;Записки нового репатрианта;юмор;115536;toviybas;1;0
Бажанов Борис;Воспоминания бывшего секретаря Сталина;политика;624223;stalin04;1;0
Бажов Павел;Полное собрание сочинений в 3-х томах;сказка;1234000;bajovs;1;0
Базен Эрве;Семья Резо 1-3;драма;1193936;rezo_1;1;1
Байджент М.;Священная загадка;история;842321;sion;1;1
Байрон Джорж Гордон;Дон Жуан;стихи;1075595;donjuan;1;0
Бакланов Григорий;Навеки девятнадцатилетние;военные;339407;nineteen;1;0
Балабуха Андрей;Распечатыватель сосудов, или на Моисеевом пути;драма;167212;sosudy;1;0
Балашов Д.М.;Бремя власти;история;849432;bremyavl;1;0
Балашов Д.М.;Великий стол;история;993012;velikiys;1;0
Балашов Д.М.;Ветер времени;история;1267856;veter_pe;1;0
Балашов Д.М.;Ветер перемен;история;1267808;veter01;1;0
Балашов Д.М.;Господин Великий Новгород;история;332553;gospodin;1;0
Балашов Д.М.;Марфа-посадница;история;1037315;bala5;1;0
Балашов Д.М.;Младший сын;история;1311560;mladsh;1;0
Балашов Д.М.;Отречение;история;1519355;otrechen;1;0
Балашов Д.М.;Похвала Сергию;история;490089;bala1;1;0
Балашов Д.М.;Святая Русь;история;1944411;svyataya;1;0
Балашов Д.М.;Симеон Гордый;история;1194765;simeons;1;0
Балл Георгий;Торопун-Карапун и тайны моего детства;сказка;210359;ball1;1;0
Балрийар Жан;Америка;политика;346691;amerique;1;0
Балтер Борис;До свидания, мальчики!;детская;425344;good-bye;1;0
Бандурин В.В.;Система инвестиц. взаимоотнош. в регионе на пр. Татарст;экономика;409218;tatarstn;1;0
Бандурин В.В.;Управление госсобственностью в условиях перех. экономик;экономика;307403;peregos;1;0
Баныкин Николай;Семь лекций о живой этике;философия;195919;banikin;1;0
Барабашев и др.;Философия как схематизм образного мышления;философия;463338;barabash;1;0
Бараев Леонид;Часы Фишера;документ;244473;fishclk;1;0
Бараненков Николай;Тринадцатая рота;юмор;667214;boranen1;1;0
Барбакару А.И.;Я - шулер;криминал;510971;blackleg;1;0
Барбьери Элейн;Дерзкая любовница;жен. роман;830146;barb1;1;0
Барбюс Анри;Нежность;лирика;7942;nezhnost;1;0
Барикко Ал.;Море-океан;драма;275767;more;1;0
Баркер Э.;Письма усопшего или послания с того света;религия;90774;usopshi;1;0
Барри Джеймс;Питер Пэн 1-2;сказка;200922;barry1;1;0
Барт Ролан;Миф сегодня;наука;126920;barthes;1;0
Бартельм Д.;Рассказы;драма;87921;bartel;1;0
Бартольд Лидия;Сборник стихов;стихи;87390;plashke;1;0
Басби Шарли;Знатная плутовка;жен. роман;757960;bisb3;1;0
Басби Шарли;Полуночный маскарад;жен. роман;656740;bisb2;1;0
Басби Шарли;Хозяйка поместья;жен. роман;353007;bisb1;1;0
Басби Ширли;Испанская роза;жен. роман;683457;bisb5;1;1
Басби Ширли;Леди-цыганка;жен. роман;549969;bisb4;1;1
Батай Жорж;Из внутреннего опыта;философия;39699;bataille;1;0
Батлер Кэтрин;Танец любви;жен. роман;274503;batl1;1;0
Батлер Октавия;Дикое племя;драма;620076;butler1;1;0
Батхен Вероника;Сказки;сказка;101792;bathen;1;0
Баум Л.Ф.;Страна Оз 1-14 (все оригинальные);сказка;3132455;oz;1;0
Бахаулла;Сокровенные слова. Воззвание Бахаулы.;религия;141579;bahaylla;1;0
Бахман Ингеборг;Рассказы к 70-летию со дня рождения;драма;76128;bachman;1;0
Бахнов Владлен;Внимание: Ахи! (сборник);юмор;697804;bachn01;1;0
Бахревский Владислав;Повести;история;262203;bahrevs;1;0
Бахтин М.М.;Проблемы творчества и поэтики Достоевского;наука;1120400;bahtin;1;0
Бахтин М.М.;Творчество Франсуа Рабле и народная культура средневеко;философия;1166582;fransu01;1;0
Бачурин Э.Ф.;По ту сторону Абсурдного настоящего;философия;263183;bachurin;1;0
Башилов Борис;История русского масонства;политика;2785700;masons;1;0
Башкуев А.;Призвание варяга;история;2070000;bender;1;0
Башлачев А.;Стихи и песни;стихи;163456;bashlach;1;0
Бегемотов Н.;Рассказы;юмор;225207;begemots;1;0
Бегун Владимир;Ярмарка предателей;политика;140007;begun01;1;1
Безруков Н.Н.;Компьютерная вирусология ч. 1;учеба;1262112;vir-bezr;1;0
Бек Александр;Волоколамское шоссе;военные;1077711;volokola;1;0
Бек Александр;Новое назначение;драма;434035;assignm;1;0
Бек Татьяна;Стихотворные сборники;стихи;186400;bek;1;0
Беккет Самуэль;Все, что падает;драма;68621;fall;1;0
Беккет Сэмюэл;Моллой;драма;426889;molloj;1;1
Беккет Сэмюэл;Мэлон умирает;драма;273076;mallon;1;1
Белаш Александр;Рассказы;драма;312581;belash;1;0
Белецкий Родион;Рассказы;драма;406965;beletsk;1;0
Белиловский М.;Поведай сыну своему;драма;604938;son;1;0
Белле Дю;Сонеты;стихи;88575;dubelle;1;1
Беллоу Сол;В связи с Белларозой;драма;189541;bellaros;1;0
Беллоу Сол;Рассказы;драма;147781;silvdish;1;0
Беллоу Сол;Родственники;драма;174472;cousins;1;0
Белль Генрих;Глазами клоуна;драма;481446;clowneye;1;0
Белль Генрих;Долина грохочущих копыт;драма;92299;dolina;1;0
Белобров Владимир;Рассказы и повести;юмор;1981304;belbr;1;0
Белов Василий;Плотницкие рассказы;драма;165753;belov02;1;0
Белов Василий;Повседневная жизнь Русского Севера;драма;738448;belovzn;1;0
Белов Василий;Привычное дело;драма;313116;belov01;1;0
Белов Виктор;Давайте разберемся;политика;123637;below;1;0
Белов Михаил;Христианин в светской школе;религия;702821;shkola;1;1
Белогуров С.;Популярно о наркотиках и наркоманиях;дом;220337;drugs;1;0
Белозор Максим;Книга для детей Nо 2;сказка;60440;belozor;1;0
Белый Андрей;Фридрих Ницше;философия;61213;belyi;1;0
Белых Григорий;Республика ШКИД;детская;663232;belih;1;0
Беляев Александр;Взлетная полоса;драма;378150;polosa;1;0
Беляева, Бенило;Рассказы;жен. роман;36270;birmin01;1;0
Бенемотов Н.;Фронты. Хроника Смутных Времен.;юмор;260133;fronts;1;0
Бергланд Дэвид;Либертарианство за один урок;экономика;280506;libertar;1;0
Бергсон А.;Творческая эволюция;философия;689866;bergson;1;0
Бергстед Гаральд;Праздник Святого Йоргена;юмор;221587;bergst01;1;0
Берд Генри;Холестерин колец;юмор;341028;ring;1;0
Берджес Энтони;Влюбленный Шекспир;драма;541089;burd;1;1
Бердников А.;Жидков, или о смысле диких роз, киселе и переживаниях..;драма;681133;zhidkow;1;0
Бердяев Н.А.;Смысл творчества;философия;787447;theseno1;1;0
Бердяев Н.А.;Труды;философия;392199;berdyav;1;0
Бердяев Н.А.;Философия свободы;философия;588750;philos01;1;0
Бердяев Н.А.;Царство духа и царство кесаря;философия;256593;berdyav1;1;0
Бережной Сергей;\"'200\", N A-Е фантастика';журнал;1578900;200;1;0
Бережной Сергей;Публицистика и рецензии;документ;144302;berej;1;0
Березин Влад.;Свидетель;драма;262390;berezin;1;0
Березкин А.;Бог острова Березкина;лирика;5584;berezkin;1;0
Берман Алесандр;Среди стихий;спорт;542624;stihii;1;1
Бермистров Т.;Записки из Поднебесной;драма;195863;burmisis;1;0
Берн Эрик;Игры, в которые играют люди;психология;350344;games;1;0
Берн Эрик;Секс в жизни людей;секс-учеба;157659;berne;1;0
Берн Эрик;Формы человеческих отношений;психология;97746;forms;1;0
Берристер Инга;В омуте любви;жен. роман;250883;lovest44;1;0
Берроуз Уильям;Падение искусства;документ;687083;burrou;1;0
Берроуз Уильям;Электронная революция;документ;90444;electron;1;0
Берроус С.;Нагой обед  (проблема наркотиков);документ;2204940;lunch;1;0
Берроус Уильям С.;Джанки. Исповедь несправимого наркомана;драма;339523;narkoman;1;0
Бертран же Ж.;Этика перераспределения;экономика;178475;etika;1;0
Бертьен Анри;Проклятие Раффы;драма;132698;raff1;1;0
Бестер Альфред;Дьявольский интерфейс;триллер;517782;connect;1;0
Бестер Альфред;Обманщики;триллер;428346;deceiver;1;0
Бестер Альфред;Рассказы;триллер;647890;bester;1;0
Бестер Альфред;Человек без лица;триллер;446885;demolish;1;0
Бет Хенли;Изобилие;драма;98173;beth;1;0
Бжезинский Збигнев;Великая шахматная доска (Господство Америки и его?);политика;529345;bzhezin;1;0
Бианки Виталий;Лесные были и небылицы;сказка;418741;woodstor;1;0
Библер В.С.;От наукоучения - к логике культуры;философия;1088754;fromsc01;1;0
Биварли Элизабет;Не было бы счастья?;жен. роман;259123;biv3;1;0
БиН Жуковы;Экскурсия;драма;155509;zhukowy;1;0
Бирбков Ал.;Сферы мироздания: эволюционные связи, соотношения;философия;185496;sperewoe;1;0
Бирдринкер-2;Главный представитель в России;юмор;38756;birdrin;1;0
Бирс Амброс;Избранные произведения;драма;932108;bierce01;1;0
Бирюзов Игорь Иванов;Акция;драма;135896;chisla;1;0
Битов Андрей;Человек в пейзаже;драма;133454;pejzazh;1;0
Благов В.;Домашний лечебник;медицина;159431;domlech;1;0
