<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;20/06/23;200000;169.5700000
GAZP;60;20/06/23;210000;169.7500000
GAZP;60;20/06/23;220000;169.8100000
GAZP;60;20/06/23;230000;169.6900000
GAZP;60;21/06/23;000000;169.6400000
GAZP;60;21/06/23;110000;169.2700000
GAZP;60;21/06/23;120000;169.8300000
GAZP;60;21/06/23;130000;170.0700000
GAZP;60;21/06/23;140000;170.6400000
GAZP;60;21/06/23;150000;170.6000000
GAZP;60;21/06/23;160000;171.1700000
GAZP;60;21/06/23;170000;170.7800000
GAZP;60;21/06/23;180000;170.4000000
GAZP;60;21/06/23;190000;170.5200000
GAZP;60;21/06/23;200000;170.4000000
GAZP;60;21/06/23;210000;170.1800000
GAZP;60;21/06/23;220000;170.6100000
GAZP;60;21/06/23;230000;170.4000000
GAZP;60;22/06/23;000000;170.2000000
GAZP;60;22/06/23;110000;170.1000000
GAZP;60;22/06/23;120000;170.3800000
GAZP;60;22/06/23;130000;170.4200000
GAZP;60;22/06/23;140000;170.0000000
GAZP;60;22/06/23;150000;169.9100000
GAZP;60;22/06/23;160000;169.7600000
GAZP;60;22/06/23;170000;169.6900000
GAZP;60;22/06/23;180000;169.9000000
GAZP;60;22/06/23;190000;169.7500000
GAZP;60;22/06/23;200000;169.7400000
GAZP;60;22/06/23;210000;169.7000000
GAZP;60;22/06/23;220000;169.7600000
GAZP;60;22/06/23;230000;168.2000000
GAZP;60;23/06/23;000000;168.4100000
GAZP;60;23/06/23;110000;167.1500000
GAZP;60;23/06/23;120000;167.9200000
GAZP;60;23/06/23;130000;168.3300000
GAZP;60;23/06/23;140000;168.3600000
GAZP;60;23/06/23;150000;168.8300000
GAZP;60;23/06/23;160000;168.7300000
GAZP;60;23/06/23;170000;168.2200000
GAZP;60;23/06/23;180000;168.2200000
GAZP;60;23/06/23;190000;168.3300000
GAZP;60;23/06/23;200000;168.5400000
GAZP;60;23/06/23;210000;168.7000000
GAZP;60;23/06/23;220000;166.7300000
GAZP;60;23/06/23;230000;165.9600000
GAZP;60;24/06/23;000000;165.8000000
GAZP;60;26/06/23;110000;165.9100000
GAZP;60;26/06/23;120000;166.9600000
GAZP;60;26/06/23;130000;167.7800000
GAZP;60;26/06/23;140000;167.5400000
GAZP;60;26/06/23;150000;167.1700000
GAZP;60;26/06/23;160000;167.3300000
GAZP;60;26/06/23;170000;168.1900000
GAZP;60;26/06/23;180000;167.6500000
GAZP;60;26/06/23;190000;167.0100000
GAZP;60;26/06/23;200000;166.9200000
GAZP;60;26/06/23;210000;166.9700000
GAZP;60;26/06/23;220000;165.6600000
GAZP;60;26/06/23;230000;166.4000000
GAZP;60;27/06/23;000000;166.9100000
GAZP;60;27/06/23;110000;166.2000000
GAZP;60;27/06/23;120000;166.9200000
GAZP;60;27/06/23;130000;166.6900000
GAZP;60;27/06/23;140000;166.6200000
GAZP;60;27/06/23;150000;166.6800000
GAZP;60;27/06/23;160000;167.0000000
GAZP;60;27/06/23;170000;167.1300000
GAZP;60;27/06/23;180000;167.0100000
GAZP;60;27/06/23;190000;166.5200000
GAZP;60;27/06/23;200000;166.8100000
GAZP;60;27/06/23;210000;166.2600000
GAZP;60;27/06/23;220000;166.5300000
GAZP;60;27/06/23;230000;166.5600000
GAZP;60;28/06/23;000000;166.4500000
GAZP;60;28/06/23;110000;166.6600000
GAZP;60;28/06/23;120000;166.1800000
GAZP;60;28/06/23;130000;166.3900000
GAZP;60;28/06/23;140000;166.6400000
GAZP;60;28/06/23;150000;166.5500000
GAZP;60;28/06/23;160000;167.5400000
GAZP;60;28/06/23;170000;168.0600000
GAZP;60;28/06/23;180000;168.1300000
GAZP;60;28/06/23;190000;168.0000000
GAZP;60;28/06/23;200000;167.7700000
GAZP;60;28/06/23;210000;167.9100000
GAZP;60;28/06/23;220000;167.9500000
GAZP;60;28/06/23;230000;168.0900000
GAZP;60;29/06/23;000000;168.0500000
GAZP;60;29/06/23;110000;169.4900000
GAZP;60;29/06/23;120000;168.8500000
GAZP;60;29/06/23;130000;168.4600000
GAZP;60;29/06/23;140000;168.5900000
GAZP;60;29/06/23;150000;168.0100000
GAZP;60;29/06/23;160000;167.9000000
GAZP;60;29/06/23;170000;168.0200000
GAZP;60;29/06/23;180000;168.2900000
GAZP;60;29/06/23;190000;168.0000000
GAZP;60;29/06/23;200000;168.0800000
GAZP;60;29/06/23;210000;168.1700000
GAZP;60;29/06/23;220000;168.0900000
GAZP;60;29/06/23;230000;167.8800000
GAZP;60;30/06/23;000000;167.8800000
GAZP;60;30/06/23;110000;166.6300000
GAZP;60;30/06/23;120000;166.9100000
GAZP;60;30/06/23;130000;166.7000000
GAZP;60;30/06/23;140000;166.8400000
GAZP;60;30/06/23;150000;166.9300000
GAZP;60;30/06/23;160000;166.6400000
GAZP;60;30/06/23;170000;167.2000000
GAZP;60;30/06/23;180000;167.0300000
GAZP;60;30/06/23;190000;167.6200000
GAZP;60;30/06/23;200000;166.9400000
GAZP;60;30/06/23;210000;166.8500000
GAZP;60;30/06/23;220000;166.9900000
GAZP;60;30/06/23;230000;167.0700000
GAZP;60;01/07/23;000000;166.8600000
GAZP;60;03/07/23;110000;167.0500000
